id,time,temperature,humidity,pressure,light_intensity,min_wind_direction,max_wind_direction,avg_wind_direction,min_wind_speed,max_wind_speed,avg_wind_speed,accum_rainfall,accum_rainfall_duration,rainfall_intensity,max_rainfall_intensity,heating_temperature,dumping_of_state,pm2_5,pm10
68,1681593501400073472,21.049999237,12.279999733,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,2,2
69,1681593512451927296,21.030000687,12.300000191,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,1,1
70,1681593523504049920,21.069999695,12.319999695,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,1,1
71,1681593535556485120,21.069999695,12.270000458,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.3700008392334,0,1,1
72,1681593546611001344,21.069999695,12.300000191,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,1,1
73,1681593557664212736,21.040000916,12.300000191,79510,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
74,1681593568718096128,21.069999695,12.270000458,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,2,2
75,1681593579771134208,21.049999237,12.270000458,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
76,1681593590823443200,21.069999695,12.270000458,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,2,2
77,1681593601876449792,21.049999237,12.239999771,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,2,2
78,1681593612931281152,21.049999237,12.270000458,79490,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
79,1681593623985131776,21.069999695,12.270000458,79510,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,2,2
80,1681593635037817344,21.100000381,12.279999733,79490,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,1,1
81,1681593646091861504,21.069999695,12.300000191,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,1,2
82,1681593657144569600,21.069999695,12.300000191,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,2,2
83,1681593669198794496,21.069999695,12.25,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,2,7
84,1681593680253168384,21.069999695,12.279999733,79500,365,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,2,7
85,1681593691307947008,21.049999237,12.329999924,79490,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.350000381469727,0,1,2
86,1681593702361877760,21.079999924,12.279999733,79490,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.389999389648438,0,1,1
87,1681593713414544384,21.100000381,12.319999695,79500,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.309999465942383,0,0,0
88,1681593724468365312,21.040000916,12.350000381,79490,370,0,0,0,0,0,0,0.20000000298,10,0,0,21.329999923706055,0,3,3
